Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Receipt of Consignment,Chrome 64.0.3282.167,,2018-02-23 07:34:42,2018-02-23 07:36:05,1m - 23.160s,PASSED
,,,,,,
Test Cases/Inventory Module/Manifest Upload/validate_Shipping Date Required,Chrome 64.0.3282.167,Validate the Shipping Date is Required,2018-02-23 07:34:43,2018-02-23 07:36:05,1m - 22.439s,PASSED
manifestUploads.PrimaryDevice.primaryDevice,Chrome 64.0.3282.167,,2018-02-23 07:34:43,2018-02-23 07:34:44,0.118s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 07:34:44,2018-02-23 07:34:46,2.267s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 07:34:46,2018-02-23 07:35:22,36.456s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 07:35:22,2018-02-23 07:36:04,41.245s,PASSED
verifyElementVisible,Chrome 64.0.3282.167,,2018-02-23 07:36:04,2018-02-23 07:36:04,0.186s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-23 07:36:04,2018-02-23 07:36:05,1.291s,PASSED
