Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
File Upload Center,Chrome 63.0.3239.132,Test Suite for all Test Cases Depending on File Upload Center,2018-01-29 12:06:13,2018-01-29 12:09:46,3m - 32.513s,PASSED
,,,,,,
Test Cases/File Upload Center Module/Verify-User is able to Upload Payment File,Chrome 63.0.3239.132,Steps\n\nFile Upload Center\nFormat the MPESA payment File Appropriately\nUpload the Payment file andd it should be in CSV Format,2018-01-29 12:06:13,2018-01-29 12:06:44,31.188s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-29 12:06:14,2018-01-29 12:06:40,26.503s,PASSED
refresh,Chrome 63.0.3239.132,,2018-01-29 12:06:40,2018-01-29 12:06:41,1.269s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:06:41,2018-01-29 12:06:43,2.006s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:06:43,2018-01-29 12:06:44,0.186s,PASSED
getText,Chrome 63.0.3239.132,,2018-01-29 12:06:44,2018-01-29 12:06:44,0.086s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-01-29 12:06:44,2018-01-29 12:06:44,0.012s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-29 12:06:44,2018-01-29 12:06:44,0.718s,PASSED
,,,,,,
Test Cases/Payments/Makeover Overpayment/verify_Make overpayment,Chrome 63.0.3239.132,ID:16589 make overpayment,2018-01-29 12:06:44,2018-01-29 12:07:48,1m - 3.600s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-29 12:06:45,2018-01-29 12:07:09,23.984s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:07:09,2018-01-29 12:07:11,2.003s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:07:11,2018-01-29 12:07:11,0.129s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:07:11,2018-01-29 12:07:13,2.003s,PASSED
