Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:07:13,2018-01-29 12:07:13,0.135s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:07:13,2018-01-29 12:07:15,2.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:07:15,2018-01-29 12:07:16,1.118s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:07:16,2018-01-29 12:07:22,6.004s,PASSED
getText,Chrome 63.0.3239.132,,2018-01-29 12:07:22,2018-01-29 12:07:22,0.131s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-01-29 12:07:22,2018-01-29 12:07:22,0.001s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-29 12:07:22,2018-01-29 12:07:22,0.103s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:07:22,2018-01-29 12:07:42,19.326s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:07:42,2018-01-29 12:07:42,0.783s,PASSED
getText,Chrome 63.0.3239.132,,2018-01-29 12:07:42,2018-01-29 12:07:47,4.866s,PASSED
verifyNotEqual,Chrome 63.0.3239.132,,2018-01-29 12:07:47,2018-01-29 12:07:47,0.017s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-29 12:07:47,2018-01-29 12:07:48,0.726s,PASSED
,,,,,,
Test Cases/Payments/Confirm Customer Payment/Verify-Customer Payment,Chrome 63.0.3239.132,Steps\n\n1. Upload mpesa Payment File \n2. Payments\n3. Verify if Payment is Visible to Recent Customer Payments,2018-01-29 12:07:48,2018-01-29 12:08:20,31.976s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-29 12:07:48,2018-01-29 12:08:11,22.543s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:08:11,2018-01-29 12:08:11,0.085s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:08:11,2018-01-29 12:08:13,2.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:08:13,2018-01-29 12:08:14,1.311s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:08:14,2018-01-29 12:08:19,5.005s,PASSED
getText,Chrome 63.0.3239.132,,2018-01-29 12:08:19,2018-01-29 12:08:19,0.180s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-01-29 12:08:19,2018-01-29 12:08:19,0.001s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-29 12:08:19,2018-01-29 12:08:20,0.677s,PASSED
,,,,,,
Test Cases/Payments/Confirm Dealer Payment/Verify- Dealer Payment,Chrome 63.0.3239.132,Verify if a dealer Payment has been made after uploading the payment File,2018-01-29 12:08:20,2018-01-29 12:08:55,35.055s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-29 12:08:20,2018-01-29 12:08:44,23.172s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:08:44,2018-01-29 12:08:46,2.003s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:08:46,2018-01-29 12:08:46,0.103s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:08:46,2018-01-29 12:08:48,2.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:08:48,2018-01-29 12:08:49,1.765s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:08:49,2018-01-29 12:08:54,5.004s,PASSED
getText,Chrome 63.0.3239.132,,2018-01-29 12:08:54,2018-01-29 12:08:55,0.105s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-01-29 12:08:55,2018-01-29 12:08:55,0.002s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-29 12:08:55,2018-01-29 12:08:55,0.708s,PASSED
,,,,,,
Test Cases/Payments/Edit Cash payment plan name and display name/Verify- Payment Plan name and Display Name are Editable,Chrome 63.0.3239.132,Editing the Payment Plan's Name and display Name.\n\nSteps\n1. Products On the Dashboard\n2. List Cash Payment Plan\n3. Edit \n4. Update\n5. Approve The Changes in the Approver's Account,2018-01-29 12:08:55,2018-01-29 12:09:45,50.190s,PASSED
"Statement - displayNameGenerator = generateName(""QWRTYPeuioasdFghjklMnbvcxz"", 5)",Chrome 63.0.3239.132,,2018-01-29 12:08:56,2018-01-29 12:08:56,0.001s,PASSED
Statement - rand = new java.util.Random(),Chrome 63.0.3239.132,,2018-01-29 12:08:56,2018-01-29 12:08:56,0.001s,PASSED
Statement - sb = new java.lang.StringBuilder(),Chrome 63.0.3239.132,,2018-01-29 12:08:56,2018-01-29 12:08:56,0.000s,PASSED
"Statement - For ([i = 0, i < length, (i++)])",Chrome 63.0.3239.132,,2018-01-29 12:08:56,2018-01-29 12:08:56,0.003s,PASSED
Statement - return sb.toString(),Chrome 63.0.3239.132,,2018-01-29 12:08:56,2018-01-29 12:08:56,0.000s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-29 12:08:56,2018-01-29 12:09:05,9.869s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:09:05,2018-01-29 12:09:05,0.116s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:09:05,2018-01-29 12:09:07,2.002s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:09:07,2018-01-29 12:09:08,0.123s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:09:08,2018-01-29 12:09:10,2.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:09:10,2018-01-29 12:09:11,1.098s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:09:11,2018-01-29 12:09:12,1.650s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-29 12:09:12,2018-01-29 12:09:12,0.108s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-29 12:09:12,2018-01-29 12:09:13,0.093s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-29 12:09:13,2018-01-29 12:09:13,0.149s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:09:13,2018-01-29 12:09:14,1.597s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-29 12:09:14,2018-01-29 12:09:15,0.745s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-29 12:09:15,2018-01-29 12:09:38,22.716s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:09:38,2018-01-29 12:09:38,0.082s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:09:38,2018-01-29 12:09:40,2.002s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-29 12:09:40,2018-01-29 12:09:40,0.030s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:09:40,2018-01-29 12:09:42,2.001s,PASSED
click,Chrome 63.0.3239.132,,2018-01-29 12:09:42,2018-01-29 12:09:43,0.765s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-29 12:09:43,2018-01-29 12:09:45,2.001s,PASSED
getText,Chrome 63.0.3239.132,,2018-01-29 12:09:45,2018-01-29 12:09:45,0.043s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-01-29 12:09:45,2018-01-29 12:09:45,0.001s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-29 12:09:45,2018-01-29 12:09:45,0.767s,PASSED
